AtomicNumber,AtomicMass,NumberofNeutrons,NumberofProtons,NumberofElectrons,Period,Group,Phase,Radioactive,Natural,AtomicRadius,Electronegativity,FirstIonizationEnergy,Density,MeltingPoint,BoilingPoint,NumberOfIsotopes,SpecificHeat,NumberofShells,NumberofValence,MetalType
1,1.0070000000000001,0,1,1,1,1.0,0,0,1,0.79,2.2,13.5984,8.99e-05,14.175,20.28,3.0,14.304,1,1.0,0
2,4.002,2,2,2,1,18.0,0,0,1,0.49,0.0,24.5874,0.00017900000000000001,0.0,4.22,5.0,5.193,1,0.0,0
3,6.941,4,3,3,2,1.0,2,0,1,2.1,0.98,5.3917,0.534,453.85,1615.0,5.0,3.582,2,1.0,2
4,9.012,5,4,4,2,2.0,2,0,1,1.4,1.57,9.3227,1.85,1560.15,2742.0,6.0,1.825,2,2.0,2
5,10.811,6,5,5,2,13.0,2,0,1,1.2,2.04,8.298,2.34,2573.15,4200.0,6.0,1.026,2,3.0,1
6,12.011,6,6,6,2,14.0,2,0,1,0.91,2.55,11.2603,2.27,3948.15,4300.0,7.0,0.7090000000000001,2,4.0,0
7,14.007,7,7,7,2,15.0,0,0,1,0.75,3.04,14.5341,0.00125,63.29,77.36,8.0,1.04,2,5.0,0
8,15.999,8,8,8,2,16.0,0,0,1,0.65,3.44,13.6181,0.00143,50.5,90.2,8.0,0.9179999999999999,2,6.0,0
9,18.998,10,9,9,2,17.0,0,0,1,0.57,3.98,17.4228,0.0017,53.63,85.03,6.0,0.8240000000000001,2,7.0,0
10,20.18,10,10,10,2,18.0,0,0,1,0.51,0.0,21.5645,0.0009,24.703000000000003,27.07,8.0,1.03,2,8.0,0
11,22.99,12,11,11,3,1.0,2,0,1,2.2,0.93,5.1391,0.971,371.15,1156.0,7.0,1.228,3,1.0,2
12,24.305,12,12,12,3,2.0,2,0,1,1.7,1.31,7.6462,1.74,923.15,1363.0,8.0,1.023,3,2.0,2
13,26.982,14,13,13,3,13.0,2,0,1,1.8,1.61,5.9858,2.7,933.4,2792.0,8.0,0.897,3,3.0,2
14,28.086,14,14,14,3,14.0,2,0,1,1.5,1.9,8.1517,2.33,1683.15,3538.0,8.0,0.705,3,4.0,1
15,30.974,16,15,15,3,15.0,2,0,1,1.2,2.19,10.4867,1.82,317.25,553.0,7.0,0.769,3,5.0,0
16,32.065,16,16,16,3,16.0,2,0,1,1.1,2.58,10.36,2.07,388.51,717.8,10.0,0.71,3,6.0,0
17,35.453,18,17,17,3,17.0,0,0,1,0.97,3.16,12.9676,0.00321,172.31,239.11,11.0,0.479,3,7.0,0
18,39.948,22,18,18,3,18.0,0,0,1,0.88,0.0,15.7596,0.0017800000000000001,83.96,87.3,8.0,0.52,3,8.0,0
19,39.098,20,19,19,4,1.0,2,0,1,2.8,0.82,4.3407,0.862,336.5,1032.0,10.0,0.757,4,1.0,2
20,40.078,20,20,20,4,2.0,2,0,1,2.2,1.0,6.1132,1.54,1112.15,1757.0,14.0,0.647,4,2.0,2
21,44.956,24,21,21,4,3.0,2,0,1,2.1,1.36,6.5615,2.99,1812.15,3109.0,15.0,0.568,4,0.0,2
22,47.867,26,22,22,4,4.0,2,0,1,2.0,1.54,6.8281,4.54,1933.15,3560.0,9.0,0.523,4,0.0,2
23,50.942,28,23,23,4,5.0,2,0,1,1.9,1.63,6.7462,6.11,2175.15,3680.0,9.0,0.489,4,0.0,2
24,51.996,28,24,24,4,6.0,2,0,1,1.9,1.66,6.7665,7.15,2130.15,2944.0,9.0,0.449,4,0.0,2
25,54.938,30,25,25,4,7.0,2,0,1,1.8,1.55,7.434,7.44,1519.15,2334.0,11.0,0.479,4,0.0,2
26,55.845,30,26,26,4,8.0,2,0,1,1.7,1.83,7.9024,7.87,1808.15,3134.0,10.0,0.449,4,0.0,2
27,58.933,32,27,27,4,9.0,2,0,1,1.7,1.88,7.881,8.86,1768.15,3200.0,14.0,0.42100000000000004,4,0.0,2
28,58.693000000000005,31,28,28,4,10.0,2,0,1,1.6,1.91,7.6398,8.91,1726.15,3186.0,11.0,0.444,4,0.0,2
29,63.54600000000001,35,29,29,4,11.0,2,0,1,1.6,1.9,7.7264,8.96,1357.75,2835.0,11.0,0.385,4,0.0,2
30,65.38,35,30,30,4,12.0,2,0,1,1.5,1.65,9.3942,7.13,692.88,1180.0,15.0,0.38799999999999996,4,0.0,2
31,69.723,39,31,31,4,13.0,2,0,1,1.8,1.81,5.9993,5.91,302.91,2477.0,14.0,0.371,4,3.0,2
